experiment_id,image,click,movement
1,/food_oc/1_colour.jpeg,"(138,112)","[(188,166), (183,160), (174,152), (172,149), (160,140), (156,137), (145,130), (142,127), (135,124), (134,123), (134,123), (134,123), (134,123), (134,122), (134,122), (134,122), (134,121), (134,121), (134,121), (135,121), (135,121), (135,120), (135,120), (135,120), (136,119), (137,117), (137,116), (136,115), (136,115), (136,114), (136,114), (137,113), (137,113), (137,112), (138,112)]"
2,/head_gear_no/2_colour.jpeg,"(195,117)","[(144,116), (150,116), (156,116), (164,113), (167,112), (168,112), (169,112), (170,112), (172,112), (174,112), (181,112), (182,112), (185,112), (186,112), (186,112), (186,112), (188,113), (191,115), (194,115), (196,115), (199,115), (200,115), (201,115), (201,115), (201,115), (200,115), (200,115), (200,115), (199,115), (199,115), (199,115), (198,115), (198,115), (198,115), (198,115), (197,115), (197,114), (197,114), (196,115), (196,116), (195,117), (195,117)]"
3,/reading_no/1_colour.jpeg,"(205,128)","[(195,117), (195,118), (196,118), (196,118), (197,118), (197,118), (197,118), (197,118), (198,119), (198,119), (198,119), (198,120), (198,120), (198,120), (199,121), (199,121), (199,121), (200,121), (200,122), (200,122), (200,122), (201,122), (201,123), (202,123), (202,123), (202,124), (203,124), (203,124), (203,124), (203,125), (204,127), (204,127), (204,127), (204,127), (204,127), (204,127), (205,128)]"
4,/vr_no/2_colour.jpeg,"(267,115)","[(216,125), (215,125), (215,125), (216,125), (217,125), (218,124), (225,122), (228,121), (231,121), (233,121), (235,121), (236,121), (236,121), (238,121), (241,121), (243,120), (246,120), (247,119), (249,118), (250,118), (252,117), (253,116), (254,116), (254,116), (255,116), (255,115), (255,115), (256,115), (256,115), (256,115), (256,115), (257,115), (257,115), (258,115), (259,115), (259,115), (260,115), (261,115), (261,115), (261,115), (261,115), (262,115), (262,115), (262,115), (262,115), (263,115), (266,115), (266,115), (267,115), (267,115), (267,115)]"
5,/footwear_no/3_colour.jpeg,"(186,82)","[(267,116), (264,116), (261,116), (255,118), (249,118), (239,119), (235,120), (231,120), (229,120), (214,123), (203,126), (157,132), (134,136), (112,139), (88,140), (85,140), (85,140), (85,140), (87,139), (94,137), (96,137), (97,136), (97,136), (98,136), (98,135), (99,135), (101,134), (101,133), (102,133), (102,133), (103,132), (104,132), (106,130), (107,128), (109,126), (110,125), (120,120), (129,116), (158,106), (172,101), (191,94), (195,92), (197,91), (197,91), (199,90), (200,89), (200,88), (201,88), (202,87), (203,86), (203,85), (203,85), (203,84), (201,84), (200,83), (199,83), (198,83), (196,82), (194,82), (194,82), (193,82), (193,82), (192,82), (191,82), (190,82), (189,82), (189,82), (188,82), (188,82), (187,82), (186,82), (186,82)]"
6,/mugs_oc2/3_colour.jpeg,"(221,84)","[(214,165), (213,155), (212,149), (210,142), (210,130), (211,117), (212,111), (213,107), (214,98), (215,95), (215,94), (215,94), (215,94), (214,94), (211,104), (209,111), (208,115), (208,115), (209,113), (210,111), (211,111), (213,108), (214,106), (216,104), (218,102), (219,99), (219,99), (220,98), (220,98), (220,96), (220,96), (221,92), (221,92), (221,92), (221,92), (221,91), (221,91), (222,91), (222,90), (222,89), (222,88), (222,86), (221,85), (221,84), (221,84), (221,84), (220,84), (221,84)]"
7,/academic_book_oc/3_colour.jpeg,"(204,88)","[(209,106), (209,106), (207,106), (206,106), (206,105), (206,103), (206,101), (207,96), (208,93), (208,92), (207,91), (207,90), (207,90), (207,90), (207,90), (207,90), (206,90), (206,89), (205,89), (205,89), (205,89), (204,89), (204,88), (204,88), (204,88), (204,87), (205,86), (205,86), (205,86), (204,87), (204,87), (204,87), (204,87), (204,88)]"
8,/academic_book_no/2_colour.jpeg,"(182,60)","[(209,106), (198,102), (196,100), (194,97), (193,90), (193,87), (192,82), (190,81), (187,79), (187,79), (185,79), (185,77), (185,76), (186,73), (186,71), (186,70), (186,69), (185,68), (184,68), (184,68), (184,68), (183,68), (182,67), (181,66), (180,65), (179,65), (177,65), (177,65), (176,65), (176,65), (176,64), (176,64), (176,64), (176,63), (177,63), (177,63), (177,63), (178,62), (180,61), (180,61), (181,61), (181,61), (181,61), (182,60), (182,60)]"
9,/wash_oc/1_colour.jpeg,"(161,114)","[(187,81), (187,81), (186,81), (186,81), (185,83), (185,84), (182,88), (181,88), (177,92), (171,98), (170,99), (169,100), (168,100), (168,100), (167,101), (166,102), (166,102), (166,103), (165,104), (165,105), (165,105), (164,106), (164,107), (164,109), (162,111), (162,112), (162,113), (161,114), (161,114), (161,114)]"
10,/tech_oc/1_colour.jpeg,"(179,131)","[(161,114), (162,114), (163,115), (163,116), (164,116), (164,117), (165,118), (165,118), (165,118), (166,118), (167,119), (167,119), (168,120), (168,120), (168,121), (168,121), (169,122), (169,123), (170,123), (170,124), (171,127), (172,128), (172,130), (172,131), (173,131), (173,131), (173,131), (173,131), (174,131), (174,131), (175,131), (176,130), (176,130), (177,130), (177,130), (177,130), (177,130), (178,130), (178,130), (178,130), (178,130), (178,131), (179,131), (179,131)]"
11,/statues_oc/1_colour.jpeg,"(159,103)","[(286,120), (266,130), (232,153), (223,158), (8,41), (12,42), (12,42), (12,43), (12,43), (14,44), (17,46), (20,46), (21,47), (27,51), (33,55), (54,68), (70,78), (79,82), (89,89), (96,94), (99,98), (101,99), (102,101), (103,103), (104,105), (105,106), (107,107), (109,109), (111,109), (113,109), (114,109), (115,109), (118,109), (124,108), (130,108), (136,108), (145,108), (149,108), (152,108), (154,108), (157,108), (159,108), (160,107), (161,107), (161,107), (162,107), (162,107), (163,107), (163,107), (163,107), (164,108), (165,108), (165,108), (169,108), (173,108), (176,107), (177,107), (177,107), (176,107), (176,107), (176,107), (176,107), (175,107), (174,106), (173,106), (173,106), (172,106), (172,106), (171,106), (171,106), (171,106), (169,105), (168,105), (167,105), (167,105), (167,105), (167,105), (166,105), (166,105), (166,105), (162,105), (161,105), (161,105), (161,105), (161,105), (161,105), (161,105), (160,105), (160,105), (160,105), (160,105), (159,105), (159,105), (159,105), (159,105), (159,105), (159,104), (159,104), (159,103), (159,103)]"
12,/mugs_oc/2_colour.jpeg,"(158,87)","[(26,133), (196,164), (195,152), (194,146), (194,141), (194,135), (193,131), (191,127), (189,124), (187,121), (185,119), (182,117), (180,114), (179,112), (177,108), (175,102), (174,99), (173,95), (172,93), (172,93), (172,93), (172,93), (171,93), (171,93), (170,92), (169,92), (169,92), (168,91), (167,91), (165,90), (163,89), (161,88), (159,87), (156,86), (156,86), (156,86), (156,85), (156,85), (155,85), (155,85), (155,85), (155,84), (155,84), (156,84), (156,84), (156,84), (156,85), (157,85), (157,86), (158,87), (159,87), (159,87), (158,87), (158,87), (158,87)]"
13,/statues_oc/1_colour.jpeg,"(160,104)","[(121,125), (121,125), (123,125), (125,124), (126,124), (128,123), (130,122), (130,122), (132,121), (132,121), (132,121), (133,121), (133,120), (134,120), (134,120), (135,120), (136,119), (137,119), (137,119), (137,118), (137,118), (138,118), (138,118), (138,117), (139,117), (140,117), (141,116), (142,116), (143,115), (145,114), (146,113), (148,112), (149,110), (151,109), (152,108), (152,107), (153,107), (153,107), (153,107), (154,107), (154,107), (155,107), (156,107), (156,106), (157,106), (157,106), (158,106), (158,106), (159,106), (159,106), (159,106), (159,106), (160,106), (160,106), (160,106), (161,106), (161,105), (161,105), (161,105), (161,105), (161,104), (160,104), (160,104), (160,104), (160,104)]"
